"","race","in_kbp","in_mpv","in_fe","in_wapo","year","sex","state"
"1","",1,0,0,0,2013,"Male","WA"
"2","Black",1,1,1,0,2013,"Male","CA"
"3","Black",1,1,1,0,2013,"Male","NC"
"4","Black",1,1,1,0,2013,"Male","PA"
"5","White",1,1,1,0,2013,"Female","CA"
"6","White",1,1,1,0,2013,"Male","CO"
"7","Other",1,1,1,0,2013,"Male","CA"
"8","",1,1,1,0,2013,"Male","LA"
"9","White",1,1,1,0,2013,"Male","OH"
"10","White",1,1,1,0,2013,"Male","NC"
"11","Black",1,1,0,0,2013,"Male","TX"
"12","Hispanic",1,1,1,0,2013,"Male","AZ"
"13","Black",1,1,1,0,2013,"Male","FL"
"14","Black",1,1,1,0,2013,"Male","OK"
"15","White",1,1,1,0,2013,"Male","GA"
"16","White",1,1,1,0,2013,"Male","TX"
"17","White",1,1,1,0,2013,"Male","CA"
"18","Black",1,1,1,0,2013,"Male","NY"
"19","Hispanic",1,1,1,0,2013,"Male","TX"
"20","White",1,1,1,0,2013,"Male","TX"
"21","White",1,0,0,0,2013,"Male","TX"
"22","White",1,1,1,0,2013,"Male","FL"
"23","NA_PI",1,0,0,0,2013,"Male","OK"
"24","White",1,1,1,0,2013,"Male","NC"
"25","White",1,1,1,0,2013,"Male","AZ"
"26","Asian",1,0,0,0,2013,"Male","CA"
"27","Black",1,1,1,0,2013,"Female","SC"
"28","White",1,1,1,0,2013,"Male","PA"
"29","White",1,0,0,0,2013,"Male","FL"
"30","Black",1,1,1,0,2013,"Male","AL"
"31","White",1,1,1,0,2013,"Male","IN"
"32","",1,0,0,0,2013,"Male","DE"
"33","White",1,1,1,0,2013,"Male","AZ"
"34","White",1,1,1,0,2013,"Male","IL"
"35","White",1,1,1,0,2013,"Male","WI"
"36","Hispanic",1,1,1,0,2013,"Male","CO"
"37","NA_PI",1,1,1,0,2013,"Male","HI"
"38","White",1,1,1,0,2013,"Male","CA"
"39","White",1,1,1,0,2013,"Male","WI"
"40","White",1,1,1,0,2013,"Female","OH"
"41","White",1,1,1,0,2013,"Male","ME"
"42","White",1,1,1,0,2013,"Male","IL"
"43","White",1,1,1,0,2013,"Male","CT"
"44","White",1,1,1,0,2013,"Male","WA"
"45","Black",1,1,1,0,2013,"Male","OH"
"46","White",1,1,1,0,2013,"Male","FL"
"47","White",1,1,1,0,2013,"Male","CA"
"48","Hispanic",1,1,1,0,2013,"Male","FL"
"49","Hispanic",1,1,1,0,2013,"Male","FL"
"50","White",1,1,1,0,2013,"Male","NM"
"51","White",1,1,1,0,2013,"Male","CA"
"52","",1,1,1,0,2013,"Male","FL"
"53","Black",1,1,1,0,2013,"Male","PA"
"54","",1,0,0,0,2013,"Male","WA"
"55","White",1,1,1,0,2013,"Male","NV"
"56","Black",1,1,1,0,2013,"Male","MA"
